336400,"PCE Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
361580,"Wreckfest Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
403240,"Squad Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
412680,"The Isle Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
439660,"Tower Unite Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
443030,"Conan Exiles Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
476400,"GROUND BRANCH Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
530870,"Empyrion - Galactic Survival Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
581330,"Insurgency: Sandstorm Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
600760,"Stationeers Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
710560,"Ylands Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
728470,"ASTRONEER Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
739590,"Eco Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
770720,"Hunt: Showdown 1896 (Test Server)","unknown (No License)","unknown (No License)",false,false
774961,"Squad - Public Test Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
808040,"Smalland: Survive the Wilds - Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
882430,"Beasts of Bermuda Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
884110,"SCP: 5K - Community Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
896660,"Valheim Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
904710,"The Warhorn Dedicated Server","released (Subscribed,Invalid Platform,Permanent,)","released (Subscribed,Permanent,)",false,true
906940,"LEAP Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
908290,"Server Composer","unknown (No License)","unknown (No License)",false,false
912290,"Miscreated: Experimental Server","released (Subscribed,Invalid Platform,Permanent,)","released (Subscribed,Permanent,)",false,true
915070,"Outlaws of the Old West Dedicated Server Tool","released (Subscribed,Invalid Platform,Permanent,)","released (Subscribed,Permanent,)",false,true
916110,"BattleRush 2 Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
920720,"Last Oasis - Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
928530,"Prime & Load: 1776 Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
931580,"Conan Exiles - Public Beta Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
939320,"Observer - Soundtrack","unknown (No License)","unknown (No License)",false,false
944490,"Vox Machinae Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
947870,"Starcross Arena Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
950080,"BULLETGROUNDS Dedicated Server","released (Subscribed,Invalid Platform,Permanent,)","released (Subscribed,Permanent,)",false,true
950290,"Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
950900,"Operation: Harsh Doorstop - Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
955080,"Team Fortress 2008 - Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
